,Startup Name,Founding Date,Founder(s),Founder Gender,Industry/Vertical,City,Investor(s),Funding Date,Investment Type,Investment Amount (USD),Yearly GDP (% Growth),Unicorn Company,Valuation (B USD)
2689,Clevertap,,,,SaaS,Greater Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",11/04/2019,Series B,26000000,3.74,,
2690,Medlife,,,,E-commerce,Bangalore,Prasid Uno Family Trust,12/04/2019,Other,17000000,3.74,,
2691,Azah,,,,Health & Fitness,,Unnamed Angel Investors,12/04/2019,Early stage,200000,3.74,,
2692,Tripoto,,,,Platforms & Social Media,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (Formerly Idg Ventures), 3One4 Capital, Lasmer Nv",13/04/2019,Series B,3591375,3.74,,
2693,Kuvera,,,,Fintech,Bangalore,Eight Roads,16/04/2019,Series A,45000000,3.74,,
2694,Shuttl,,,,Transportation,,New Atlantic Ventures,17/04/2019,Other,5000000,3.74,,
2695,Increff,,,,Technology,Bangalore,"021 Capita, Binny Bansal",17/04/2019,Series A,3000000,3.74,,
2696,My Healthcare,,,,E-commerce,Bangalore,Sixth Sense Ventures,19/04/2019,Series A,3000000,3.74,,
2697,Krazybee,,,,E-commerce,Bangalore,"Bac Acquisitions, Unifi Aif, Brd Securities, Northern R Capital",19/04/2019,,0,3.74,,
2698,Blackbuck,,,,Transportation,Bangalore,"Goldman Sachs Investment Partners And Silicon Valley-Based Accel, Wellington, Sequoia Capital, B Capital, Lightstreet, Sands Capital And International Finance Corporation,",01/05/2019,Series D to late stage,150000000,3.74,,
2699,Zenoti,,,,SaaS,Greater Hyderabad ,Tiger Global Management,02/05/2019,Series C,50000000,3.74,Yes,1.5
2700,Styledotme,,,,E-commerce,Delhi,"Indian Angel Network And Other Angel Investors, Innov8 Founder Ritesh Malik, Josh Talks Founders Supriya Paul And Shobha Banga, And Former Hero Corporate President Rohit Chanana",05/05/2019,,0,3.74,,
2701,Ola Electric,2017.0,,Male,Transportation,Bangalore,Tata Sons,06/05/2019,,0,3.74,Yes,5.0
2702,Saahas Zero Waste,,,,Consulting,Bangalore,C4D Partners,06/05/2019,Other,868600,3.74,,
2703,Ather Energy,,,,Automotive,Bangalore,Sachin Bansal,28/05/2019,Series C,51000000,3.74,,
2704,Freshvnf,,,,Food & Beverages,Greater Mumbai,Equanimity Ventures,28/05/2019,Early stage,140000000,3.74,,
2705,Glowroad,,,,E-commerce,Bangalore,"Korea Investment Partners, Vertex Ventures",30/05/2019,Series B,11500000,3.74,,
2706,Bira91,,,,Food & Beverages,New Delhi,Sixth Sense Ventures,31/05/2019,Series B,5600000,3.74,,
2707,Fabhotels,,,,E-commerce,Gurgaon,"Goldman Sachs, Accel Partners And Qualcomm",03/06/2019,Other,488997554,3.74,,
2708,Avail Finance,2017.0,,Male,Fintech,Bangalore,Matrix Partners,03/06/2019,Series A,9000000,3.74,,
2709,Agara Labs,,,,Technology,Bangalore,Blume Ventures And Rtp Global,03/06/2019,Series A,2500000,3.74,,
2710,Bira91,,,,Food & Beverages,New Delhi,Anicut Capital,04/06/2019,Series A,10000000,3.74,,
