,Startup Name,Founding Date,Founder(s),Founder Gender,Industry/Vertical,City,Investor(s),Funding Date,Investment Type,Investment Amount (USD),Yearly GDP (% Growth),Unicorn Company,Valuation (B USD)
2507,Vola,,,,Fintech,Bangalore,Credika And Unnamed Angel Investors,22/05/2018,Early stage,500000,6.45,,
2508,Cashkumar,,,,Consumer Internet,Bangalore,Letsventure,22/05/2018,,0,6.45,,
2509,Edyoo,,,,E-commerce,Bangalore,Rs Shanbag,23/05/2018,Early stage,735000,6.45,,
2510,Aashiyaan,,,,Fintech,Kolkata,"Insistor, Oikocredit",23/05/2018,Early stage,2000000,6.45,,
2511,Smartivity,,,,EdTech,Delhi,"Ashish Kacholi, S Chand Group",24/05/2018,Early stage,2000000,6.45,,
2512,Bonphulapl,,,,IT,Delhi,Atul Gupta And Saurabh Rastogi,24/05/2018,Early stage,293000,6.45,,
2513,Acko,2016.0,,Male,Consumer Internet,Greater Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, Nr Narayana Murthy.",27/05/2018,Early stage,12000000,6.45,Yes,1.1
2514,Hwell24,,,,Health & Fitness,Greater Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G And Bhavesh P, R Ranganathan, Oncotrust And Medintel Services Pvt. Ltd",28/05/2018,Early stage,200000,6.45,,
2515,Toffee,,,,Consumer Internet,,"Kalaari Capital, Omidyar Network And Accion Venture Labs",29/05/2018,Early stage,1500000,6.45,,
2516,Tonetag,,,,Technology,Bangalore,Amazon Inc. And Mastercard,29/05/2018,Other,8000000,6.45,,
2517,Events High,,,,Consumer Internet,Bangalore,Treebo,30/05/2018,,0,6.45,,
2518,Credright,,,,Consumer Internet,Greater Hyderabad ,"Accion Venture Lab, Yournest Venture Capital And Other Angel Investors",31/05/2018,Early stage,1300000,6.45,,
2519,Cointribe,,,,Fintech,,"Sabre Partners, Puneet Dalmia & Others",01/06/2018,Other,10000000,6.45,,
2520,Digiconectt,,,,Technology,Bangalore,Aspire Logistics Llc,04/06/2018,Early stage,125000,6.45,,
2521,Kashmir Box,,,,E-commerce,Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",04/06/2018,,0,6.45,,
2522,Crowdera,,,,Fintech,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy And Manish Satnaliwala.",05/06/2018,,0,6.45,,
2523,Zoctr,,,,Health & Fitness,Greater Mumbai,Nb Ventures And Others,05/06/2018,,0,6.45,,
2524,Annapurna Finance,2009.0,,,Fintech,,Oman India Joint Investment Fund (Oijif),07/06/2018,Other,23000000,6.45,,
2525,Meesho,2015.0,,,Consumer Internet,Bangalore,"Sequoia Capital India, Saif Partners, Y Combinator And Venture Highway",07/06/2018,Other,11500000,6.45,Yes,4.9
2526,Ayefinance,,,,Fintech,,"Capitalg, Saif Partners And Lgt Impact Ventures",10/06/2018,Other,21500000,6.45,,
2527,Theranosis,,,,Health & Fitness,Greater Hyderabad ,Mumbai Angels Network,11/06/2018,,0,6.45,,
2528,Alpha Capital,,,,Fintech,Greater Mumbai,Alpha Capital,12/06/2018,Other,14800000,6.45,,
2529,Eshakti,,,,E-commerce,Chennai,Paragon Partners,12/06/2018,Other,10100000,6.45,,
2530,Daily Ninja,,,,Consumer Internet,Bangalore,Saama Capital And Sequoia Capital,12/06/2018,,0,6.45,,
2531,Nirogstreet,,,,Health & Fitness,,"Spiral Ventures, Subho Ray And Samir Kumar",13/06/2018,Early stage,300000,6.45,,
2532,Nivesh,2016.0,,Male,Fintech,Noida,"Letsventure, Rajan Anandan, Basab Pradhan, Vivek Khare And Bijoy George",13/06/2018,Early stage,450000,6.45,,
2533,What’S Up Life,,,,Consumer Internet,,Rannvijay Singha,13/06/2018,,0,6.45,,
2534,Homelane,,,,Consumer Internet,Bangalore,Brand Capital,14/06/2018,Early stage,3450000,6.45,,
2535,Network Intelligence,,,,Technology,Greater Mumbai,Helix Investments,14/06/2018,Other,4800000,6.45,,
2536,Tynor Othontics,,,,Health & Fitness,Chandigarh,Lighthouse Funds & Thuasne Participations,18/06/2018,Other,21000000,6.45,,
2537,Elucidata,2015.0,,Male,IT,Delhi & Cambridge,Hyperplane Venture Capital And Several Angel Investors,18/06/2018,Early stage,1700000,6.45,,
2538,Chrysalis,,,,EdTech,Pune,Menterra Venture & Artha Initiatives,19/06/2018,,0,6.45,,
2539,Rentsher,,,,Consumer Internet,Bangalore,"Shorooq Investments, Letsventure & Others",19/06/2018,Early stage,1100000,6.45,,
2540,Wickedride,,,,Consumer Internet,Bangalore,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",22/06/2018,Other,9100000,6.45,,
2541,Policybazaar,2008.0,,Male,Consumer Internet,,Softbank Vision Fund & Info Edge (India) Ltd,25/06/2018,Other,200000000,6.45,,
2542,Hipbar,,,,Consumer Internet,Bangalore,Diageo India,25/06/2018,,0,6.45,,
2543,Sqqrl,,,,Fintech,,Equanimity Venture Fund,25/06/2018,Early stage,1000000,6.45,,
2544,Paytm,,,,Technology,Noida,One 97 Communications,26/06/2018,Other,8950000,6.45,,
2545,Sigtuple,,,,Health & Fitness,Bangalore,"Accel Partners, Idg Venture, Endiya Partners, Pi Ventures, Vh Capital, Axilor Ventures And Binny Bansal",26/06/2018,Other,19000000,6.45,,
2546,Wow Express,,,,Technology,Greater Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,27/06/2018,Other,4500000,6.45,,
2547,Front Desk Ai,,,,Technology,Bangalore,Speciale Invest & Others,28/06/2018,Early stage,1100000,6.45,,
2548,Edureka,,,,EdTech,Bangalore,Leo Capital,28/06/2018,Early stage,2000000,6.45,,
2549,Numeroseven,,,,Technology,,Shiva Gunapu & Others,29/06/2018,,0,6.45,,
2550,Leena Ai,,,,Technology,,Y Combinator,01/07/2018,,0,6.45,,
2551,Biryani By Kilo,,,,Consumer Internet,,Ajay Relan And Vinay Mittal,02/07/2018,Early stage,1000000,6.45,,
2552,Anchanto,,,,IT,Pune,Mdi Ventures & Telkom Indonesia,04/07/2018,Other,4000000,6.45,,
2553,Loan Tap,,,,Consumer Internet,Greater Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, Vc Firms India Quotient And Kae Capital",05/07/2018,Other,6250000,6.45,,
2554,Policybazaar,2008.0,,Male,Consumer Internet,,Info Edge (India) Ltd And Temasek,06/07/2018,Other,27700000,6.45,,
2555,Zippserv,,,,Consumer Internet,Bangalore,Info Edge (India) Ltd,09/07/2018,Early stage,440000,6.45,,
2556,Groww,2016.0,,Male,Consumer Internet,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",09/07/2018,Early stage,1100000,6.45,Yes,3.0
2557,Avenue Growth,,,,Consumer Internet,,"Avtar Monga, Chief Operating Office At Idfc Bank, Aditya Malik & Others",10/07/2018,Early stage,437000,6.45,,
2558,Inicu,,,,Health & Fitness,Delhi,Venture Catalysts,10/07/2018,,0,6.45,,
2559,Kinara Capital,2011.0,,,Fintech,Bangalore,Responsability,10/07/2018,Other,5000000,6.45,,
2560,Shop 101,,,,Consumer Internet,Greater Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, And Ramakant Sharma",10/07/2018,Other,5000000,6.45,,
2561,Sambandh,,,,Consumer Internet,Rourkela,Base Of Pyramid Asia (Bopa) Pte Ltd,11/07/2018,,0,6.45,,
2562,19Th Mile,,,,IT,,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta And Others",12/07/2018,Early stage,180000,6.45,,
2563,5Th Vital,,,,Health & Fitness,Bangalore,Brand Capital And Others,12/07/2018,Early stage,500000,6.45,,
2564,Mengage,,,,Health & Fitness,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-Founders Lab And Others.",13/07/2018,Early stage,175000,6.45,,
2565,Ofbusiness,,,,Fintech,,"Creation Investments, Falcon Edge, Matrix Partners India And Zodius Capital",17/07/2018,Other,29000000,6.45,,
2566,Cars24,,,,Consumer Internet,,"Kingsway Fci Fund, Kck Global & Others",17/07/2018,Other,49700000,6.45,Yes,3.3
2567,The Ken,,,,Consumer Internet,Bangalore,Omidyar Network & Others,18/07/2018,Early stage,1500000,6.45,,
2568,Book My Show,,,,Consumer Internet,Greater Mumbai,"Tpg Growth, The Rise Fund & Others",19/07/2018,Other,100000000,6.45,,
2569,Housingman,,,,Consumer Internet,Bangalore,,20/07/2018,Early stage,1500000,6.45,,
2570,Paysense,,,,Consumer Internet,Greater Mumbai,Payu & Others,21/07/2018,Other,18000000,6.45,,
2571,Vtion,,,,Technology,,"Angellist, Rahul Khanna, Rajeev Arora And Ram Ramsundar.",23/07/2018,Early stage,280000,6.45,,
2572,Log9 Materials,,,,Technology,Bangalore,"Metaform Ventures, Hemant Luthra, Micro Venture Capital Firm Gems Partners And Others",23/07/2018,Early stage,436000,6.45,,
2573,Kidovators,,,,EdTech,Bangalore,Gray Matters,24/07/2018,,0,6.45,,
2574,Digit,,,,Consumer Internet,Pune,Fairfax,24/07/2018,Other,45000000,6.45,Yes,4.0
2575,Black Soil,,,,Fintech,Greater Mumbai,"Allcargo Logistics, Navneet Education And Mahavir Agency",25/07/2018,Other,17000000,6.45,,
2576,Trell,2016.0,,Male,Consumer Internet,Bangalore,"Beenext , Weh Ventures And Sprout Ventures",25/07/2018,Early stage,1250000,6.45,,
2577,Iqlect,,,,Technology,Bangalore,Ventureast And Exfinity,25/07/2018,Early stage,2500000,6.45,,
2578,Entropik,,,,IT,Bangalore,"Bharat Innovation, Idfc-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",26/07/2018,Early stage,1100000,6.45,,
2579,Bitla Software,,,,Technology,Bangalore,Makemytrip,26/07/2018,,0,6.45,,
2580,Thecapitalnet,,,,Fintech,Greater Hyderabad ,Lindwall Family Investments Llc (Lfi),26/07/2018,Other,500000,6.45,,
2581,Shuttl,,,,Consumer Internet,,Amazon Alexa Fund & Dentsu Ventures,30/07/2018,Other,11000000,6.45,,
2582,Cure Fit,,,,Consumer Internet,Bangalore,"Idg Ventures, Accel Partners, Kalaari Capital And Others",30/07/2018,Other,120000000,6.45,,
2583,Five Star Group,,,,Fintech,Chennai,"Tpg, Norwest Venture Partners, Sequoia Capital & Matrix Partners",31/07/2018,Other,100000000,6.45,,
2584,Healthsignz,,,,Health & Fitness,Greater Hyderabad ,Kantilal Patel,31/07/2018,Early stage,5000000,6.45,,
2585,Dishq,,,,Food & Beverages,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth And Artesian Venture Partners",01/08/2018,Early stage,400000,6.45,,
2586,Healthfin,,,,Fintech,Pune,"Axilor, Sprout Venture Partners And Others",01/08/2018,,0,6.45,,
2587,Samosa Labs,,,,Consumer Internet,Greater Hyderabad ,Xiaomi And Sequoia Capital India,02/08/2018,Other,7000000,6.45,,
2588,Ziffyhomes,,,,Consumer Internet,,Y Combinator,03/08/2018,Other,120000,6.45,,
2589,My Omnamo,,,,Consumer Internet,Greater Mumbai,,07/08/2018,Early stage,1000000,6.45,,
2590,Shopx,,,,Consumer Internet,Bangalore,Fung Strategic Holdings,07/08/2018,Other,35000000,6.45,,
2591,Makemytrip,,,,Consumer Internet,,Makemytrip Limited,07/08/2018,Other,10000000,6.45,,
2592,Hansel Io,,,,Consumer Internet,Bangalore,Vertex Ventures,08/08/2018,Early stage,4000000,6.45,,
2593,Metro Bikes,,,,Consumer Internet,Bangalore,"Sequoia Capital India Advisors, Accel Partners And G Raghunandan",08/08/2018,Other,12200000,6.45,,
2594,Phone Pe,,,,Consumer Internet,Bangalore,Flipkart,08/08/2018,Other,66000000,6.45,,
2595,Quizizz,2015.0,,Male,EdTech,Bangalore,"Nexus Venture Partners, Prime Venture Partners And Others",09/08/2018,Early stage,3000000,6.45,,
2596,Happy Emi,,,,Fintech,Bangalore,Aj Ventures And Jain International Trade Organisation (Jito),09/08/2018,,0,6.45,,
2597,Inthree,,,,Consumer Internet,Chennai,"Ventureast, Orios Venture Partners And The Ian Fund",13/08/2018,Early stage,4000000,6.45,,
2598,Observe Ai,,,,Technology,Bangalore,"Nexus Venture Partners, Mgv, Liquid 2 Ventures, Hack Vc, Emergent Ventures And Y Combinator",13/08/2018,Other,8000000,6.45,,
2599,Enakshi,,,,Consumer Internet,,,16/08/2018,Early stage,114811,6.45,,
2600,Eazydiner,,,,Consumer Internet,,Denlow Investment Trust And Beenext,17/08/2018,Other,5850000,6.45,,
2601,Finzy,,,,Fintech,Bangalore,,20/08/2018,Early stage,1000000,6.45,,
2602,Rawpressery,,,,Consumer Internet,Greater Mumbai,Alteria Capital,20/08/2018,Early Stage,4800000,6.45,,
2603,Pi Ventures,,,,Technology,Bangalore,Cdc Group Plc,22/08/2018,Other,6000000,6.45,,
2604,Revv,,,,Consumer Internet,,"Hyundai, Edelweiss And Beenext, Dream Incubator, Sunjay Kapoor And Telama Investment",22/08/2018,Other,14270000,6.45,,
2605,Zestmoney,,,,Consumer Internet,Bangalore,"Xiaomi,Payu, Ribbit Capital And Omidyar Network",26/08/2018,Other,13400000,6.45,,
2606,Myupchar,,,,Health & Fitness,Delhi,"Nexus Venture Partners, Omidyar Network And Shunwei Capital",27/08/2018,Other,5000000,6.45,,
2607,Narvar,,,,IT,Bangalore,Accel (Formerly Known As Accel Partners),28/08/2018,Other,3000000,6.45,,
2608,True North,,,,Fintech,Greater Mumbai,,30/08/2018,,0,6.45,,
2609,Netmeds,,,,Consumer Internet,Chennai,"Sistema Asia Fund, Sistema Jsfc And Tanncam Investment",01/09/2018,Other,35000000,6.45,,
2610,Udaan,2016.0,,,Platforms & Social Media,Bangalore,Dst Global And Lightspeed Venture Partners’ Global Fund.,03/09/2018,Other,225000000,6.45,Yes,3.1
2611,Daily Hunt,,,,Consumer Internet,Bangalore,Falcon Edge,03/09/2018,Other,6390000,6.45,,
2612,3Hcare,,,,Health & Fitness,Delhi,,04/09/2018,Early stage,1000000,6.45,,
2613,Happygoeasy,,,,Consumer Internet,,"Korea Investment Partners (Kip), Samsung And China-Based Citic Capital And Others",04/09/2018,,0,6.45,,
2614,Nykaa,,,,Consumer Internet,Greater Mumbai,Lighthouse,05/09/2018,Other,157200000,6.45,,
2615,Mad Street Den,,,,Technology,Chennai,Kddi,05/09/2018,,0,6.45,,
2616,Dream11,,,,Consumer Internet,Greater Mumbai,"Tencent, Kalaari Capital And Private Equity Firm Multiples Alternate Asset Management",06/09/2018,Other,100000000,6.45,Yes,8.0
2617,Mamaearth,2016.0,,,Health & Fitness,,Stellaris Ventures & Others,10/09/2018,Other,4000000,6.45,Yes,1.07
2618,Autogrid,,,,Technology,Bangalore,"Clp Holdings Group, Innogy, Ørstead, And Tenaska",11/09/2018,Other,32000000,6.45,,
2619,Pharmeasy,,,,Consumer Internet,Greater Mumbai,Innoven Capital,11/09/2018,Early Stage,5500000,6.45,,
2620,Upwards,,,,Fintech,Greater Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",11/09/2018,,0,6.45,,
2621,Kissht,,,,Fintech,Greater Mumbai,"Vertex Ventures Southeast Asia (Sea) And India And Sistema Asia Fund, Fosun Rz Capital, Ventureast, And Endiya Partners.",12/09/2018,Other,30000000,6.45,,
2622,A&R Bon Vivants,,,,Food & Beverages,Jaipur,"Rb Investments, Singapore",08/10/2018,Other,1000000,6.45,,
2623,Tapzo,,,,Technology,Bangalore,Runet & Other,10/10/2018,Other,1930000,6.45,,
2624,Appario Retail Pvt Ltd.,,,,E-commerce,Delhi,Amazon-Patni Jv,10/10/2018,Other,18840000,6.45,,
2625,Samunnati,2014.0,,Male,Fintech,Chennai,"Responsability, Elevar Equity And Accel Partners",10/10/2018,Other,23500000,6.45,,
2626,Sahajanand Medical Technologies,,,,Technology,Surat,Morgan Stanley Private Equity Asia,10/10/2018,Other,36230000,6.45,,
2627,Kuants,,,,Technology,Gurgaon,"Pankaj Chopra, Ankush Gupta",12/10/2018,Early stage,80000,6.45,,
2628,Razorpay,2014.0,,,Technology,Bangalore,"Tiger Global, Y Combinator",12/10/2018,,0,6.45,,
2629,Streak,,,,Technology,Bangalore,"Indian Fintech Fund, Rainmatter",15/10/2018,Early stage,354600,6.45,,
2630,Pi Ventures,,,,Fintech,Bangalore,"Sunil Kant Munjal, Hero Electronix’S Corporate Financing Arm, Electronic Development Fund",15/10/2018,Other,25000000,6.45,,
2631,Newgen Software,,,,Technology,New Delhi,"Goldman Sachs, Hedge Fund & Others",15/10/2018,Other,20000000,6.45,,
2632,Rubix,,,,Technology,Pune,Polaris Fund,17/10/2018,Other,1000000,6.45,,
2633,Sharechat,,,,Technology,Bangalore,"Xiaomi Singapore, Shunwei Capital",18/10/2018,Other,18200000,6.45,,
2634,Paperflite,,,,Technology,Chennai,The Chennai Angels,22/10/2018,Early stage,400000,6.45,,
2635,Hungerbox,,,,Consumer Internet,Bangalore,Lionrock Capital,22/10/2018,Other,2500000,6.45,,
2636,Skillate,,,,Technology,Bangalore,"Incubate Fund India, Anuj Agrawal",22/10/2018,,0,6.45,,
2637,Optacredit,,,,Fintech,Chennai,Dmi Finance,22/10/2018,Other,4000000,6.45,,
2638,Milkbasket,,,,E-commerce,,Unilever Ventures,23/10/2018,Other,3000000,6.45,,
2639,Neogrowth Credit,,,,Fintech,Greater Mumbai,"Leapfrog Investments, Aspada Investment, Quona Capital",24/10/2018,Other,47000000,6.45,,
2640,Rao Iit Academy,,,,EdTech,Greater Mumbai,Avendus Finance,24/10/2018,,0,6.45,,
2641,Aye Finance,,,,Fintech,,Ifmr Capital,24/10/2018,Other,6240000,6.45,,
2642,Glassic,,,,E-commerce,Bangalore,"Chennai Angels, Lead Angels, Letsventure",25/10/2018,,0,6.45,,
2643,Greyatom,,,,Technology,Greater Mumbai,Pravega Ventures,25/10/2018,Other,1000000,6.45,,
2644,Axio,,,,Health & Fitness,Bangalore,Rnt Capital,26/10/2018,Other,7400000,6.45,,
2645,Ekincare,,,,Health & Fitness,Greater Hyderabad ,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, Bvr Mohan Reddy",29/10/2018,Other,1500000,6.45,,
2646,The Wedding Brigade,,,,Consumer Internet,Greater Mumbai,Blume Ventures,29/10/2018,Other,1000000,6.45,,
2647,Peesafe,,,,Health & Fitness,,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",30/10/2018,Other,1000000,6.45,,
2648,Browserstack,,,,Technology,Greater Mumbai,Accel Partners,30/10/2018,Other,50000000,6.45,,
2649,Scapic,,,,Technology,Bangalore,"Axilor Ventures, Newfort Capital",30/10/2018,Early stage,500000,6.45,,
2650,Moneyonmobile,,,,Technology,Greater Mumbai,Undisclosed Investors,30/10/2018,Other,7600000,6.45,,
2651,Curefit,2016.0,,Male,Health & Fitness,Bangalore,"Hdfc Bank, Axis Bank",30/10/2018,Series A,10000000,6.45,,
2652,Inurture,,,,Technology,Bangalore,Ventureast,31/10/2018,Other,4400000,6.45,,
2653,Godesi,,,,Food & Beverages,Bangalore,Lead Angels Network,01/11/2018,Early stage,138995,6.45,,
2654,Veritas Finance Ltd.,,,,Other,Chennai,"Norwest Venture Partners, Cdc Group, The Uk’S Development Finance Institution And P Surendra Pai",03/11/2018,Series D to late stage,27799000,6.45,,
2655,Meesho,2015.0,,,E-commerce,Bangalore,"Shunwei Capital, Dst Partners And Rps Ventures",06/11/2018,Series C,50000000,6.45,Yes,4.9
2656,Mobile Premier League,,,,Gaming,Bangalore,Undisclosed,08/11/2018,Series A,500000,6.45,Yes,2.3
2657,Blackbuck,,,,Food & Beverages,"New York, Bengaluru",Tiger Global,12/11/2018,Series A,1000000,6.45,,
2658,Milkbasket,,,,Food & Beverages,New Delhi,Mayfield Fund,12/11/2018,Series B,1300000,6.45,,
2659,Driveu,,,,Transportation,Bangalore,Stevens Creek Ventures,13/11/2018,Other,1000000,6.45,,
2660,Cleansecar,,,,SaaS,Bangalore,Venture Catalysts,14/11/2018,Early stage,500000,6.45,,
2661,Automation Anywhere,,,,IT,,Softbank Vision Fund,19/11/2018,Series B,300000000,6.45,,
2662,Healthifyme,,,,Health & Fitness,Bangalore,"Sistema Asia Fund, Vc Samsung Next, Chiratae Ventures, Inventus Capital, Blume Ventures And Innoven Capital.",20/11/2018,Series B,6000000,6.45,,
2663,Genius Corner,,,,EdTech,Noida,Individual Investors,21/11/2018,,0,6.45,,
2664,Aavishkaar-Intellecap Group,,,,Fintech,Greater Mumbai,Teachers Insurance And Annuity Association (Tiaa),22/11/2018,Other,31000000,6.45,,
2665,Skillbox,,,,Platforms & Social Media,,Individual Investors,22/11/2018,,0,6.45,,
2666,Signzy,,,,Fintech,Greater Mumbai,"Stellaris Venture Partners And Kalaari Capital, Rajan Anandan From Google, Dilip Khandwelwal From Sap Labs India, And Amrish Rau From Payu India",23/11/2018,Series A,3400000,6.45,,
2667,Engineer.Ai,,,,SaaS,Bangalore,"Lakestar And Jungle Ventures, Softbank’S Deepcore.",24/11/2018,Series A,29500000,6.45,,
2668,Incred Finance,,,,Fintech,,"Paragon Partners, Individual Investors",25/11/2018,Other,42000000,6.45,,
2669,Roposo,,,,Platforms & Social Media,Delhi,Bertelsmann India Investments,25/11/2018,Series B,1700000,6.45,,
2670,Urbanclap Technologies Pvt. Ltd,,,,Platforms & Social Media,New Delhi,Steadview Capital And Vy Capital.,01/12/2018,Series D to late stage,50000000,6.45,,
2671,Guiddoo,,,,Other,Greater Mumbai,Individual Investors,02/12/2018,Series A,800000,6.45,,
2672,Career Anna,,,,EdTech,,Individual Investors,02/12/2018,Series A,572000,6.45,,
2673,Nagpur Wholesale,,,,Marketplace,Nagpur,Omphalos Ventures India Llp,04/12/2018,Early stage,143000,6.45,,
2674,Manch,,,,Platforms & Social Media,Delhi,Stellaris Venture Partners,04/12/2018,Early stage,700000,6.45,,
2675,Shopkirana,,,,Other,Indore,"Info Edge, Aet Fund, Akatsuki And Incubate Fund From Japan And Better Capital Angellist Syndicate.",06/12/2018,Early stage,2000000,6.45,,
